customer_id,churn,age,gender,marital_status,education_level,dependent_count,occupation_type,annual_income,income_band,income_category,city_tier,region,customer_segment,tenure_months,onboarding_channel,relationship_type,number_of_products,primary_account_type,card_category,customer_lifetime_value,loyalty_program_member,referral_count,last_contacted_days,relationship_manager_assigned,avg_monthly_balance,current_balance,balance_decline_percentage,monthly_transaction_count,monthly_transaction_value,cash_withdrawal_count,upi_transaction_count,debit_card_transaction_count,net_banking_transaction_count,account_inactive_days,total_trans_amt,total_trans_count,total_amt_chng_q4_q1,total_ct_chng_q4_q1,avg_open_to_buy,total_revolving_bal,savings_account_flag,current_account_flag,credit_card_flag,personal_loan_flag,home_loan_flag,auto_loan_flag,fixed_deposit_flag,investment_product_flag,insurance_product_flag,demat_account_flag,credit_card_limit,credit_card_spend,credit_utilization_ratio,minimum_due_paid_flag,late_credit_card_payment_count,loan_outstanding_amount,emi_amount,emi_payment_delay_count,loan_default_risk_score,prepayment_flag,mobile_app_login_count,website_login_count,digital_transaction_ratio,last_login_days,failed_login_count,app_rating_given,paperless_statement_enabled,digital_service_usage_score,mobile_banking_active_flag,email_open_rate,total_complaints,complaint_resolution_time,unresolved_complaint_count,branch_visit_count,call_center_interaction_count,relationship_manager_interaction_count,service_request_count,escalation_count,satisfaction_score,nps_score,campaign_received_count,campaign_response_count,cross_sell_offer_count,upsell_offer_count,retention_offer_received,retention_offer_accepted,last_campaign_response_days,discount_or_fee_waiver_received,competitor_bank_offer_awareness,customer_feedback_sentiment,monthly_income_estimate,credit_utilization_3m_avg,credit_utilization_6m_avg,avg_quarterly_balance,total_digital_logins,debt_to_income_ratio,digital_engagement_index,competitor_bank_offer_awareness_ord,customer_feedback_sentiment_ord,income_band_ord,gender_enc,marital_status_enc,occupation_type_enc,region_enc,customer_segment_enc,onboarding_channel_enc,relationship_type_enc,primary_account_type_enc,income_category_enc,customer_stability_index,complaint_severity_score,relationship_strength_score,silent_churn_risk,financial_stress_score,churn_probability,risk_level,revenue_at_risk,risk_tier,persona_cluster,persona_name,retention_strategy
133001,0,36,Female,Married,Unknown,0,Salaried,22256,Low,Less than $40K,Tier 2,North,Affluent,24,Branch,Multi-Product,4,Savings,Blue,4800.15,0,0,7,1,9674.0,10885.0,-2.18,3,146.25,7,11,8,10,93,1755,42,0.686,0.448,340.0,2230,1,1,1,0,0,0,1,1,1,0,2570,1401.0,0.868,1,2,0.0,0.0,0,24.1,0,21,12,0.806,59,2,5.0,1,57.5,1,0.558,0,0,0,2,2,7,3,0,5.0,66,4,1,1,0,1,1,8,0,Not Aware,Positive,1663,0.839,0.721,28420.0,33,0.0,55.6,0,2,0,0,1,3,2,0,0,2,3,4,56.28,0.0,33.90644300613525,2619.6,0.0,0.0007176566,Low Risk,3.4448594662273533,Low,0,Digitally Loyal,Routine loyalty engagement and digital experience optimization
133002,1,44,Male,Single,High School,3,Homemaker,66481,Middle,$60K - $80K,Tier 2,West,Affluent,36,Branch,Savings Only,5,Salary,Silver,4777.34,1,0,115,1,3770.0,3056.0,20.13,3,190.17,4,10,5,5,67,2282,38,0.849,0.583,25276.0,0,0,0,1,0,0,0,0,1,0,0,25276,1310.0,0.0,0,4,0.0,0.0,0,57.7,0,15,4,0.833,16,2,,1,57.1,1,0.124,3,15,2,2,3,3,1,0,4.2,35,5,0,0,0,1,1,158,1,High,Positive,4979,0.009,0.0,11501.0,19,0.0,54.5,3,2,2,1,2,1,4,0,0,4,2,2,55.95,1.7999999999999998,42.359242424174965,728.0,0.0,0.9993279,High Risk,4774.129140353203,High,3,Financially Stressed,Immediate relationship manager intervention with premium retention offer
133003,0,46,Male,Married,High School,2,Salaried,98955,Upper-Middle,$80K - $120K,Tier 3,South,Affluent,30,Online,Investment,6,Savings,Blue,23249.4,0,0,30,1,3746.0,5211.0,8.15,7,356.42,5,15,7,8,96,4277,89,0.892,0.854,10755.0,915,1,0,1,0,0,0,0,0,0,0,11670,3397.0,0.078,1,2,0.0,0.0,0,54.2,0,19,12,0.857,40,1,3.8,0,57.0,1,0.173,0,0,0,3,1,11,2,0,4.9,85,4,0,3,2,0,0,3,0,Low,Positive,8716,0.104,0.169,11619.0,31,0.0,43.0,1,2,3,1,1,3,3,0,3,0,3,3,54.3,0.0,60.32446569101151,2280.0,0.0,0.0002414956,Low Risk,5.614627712630318,Low,1,Silent Risk,Routine loyalty engagement and digital experience optimization
133004,0,36,Female,Married,Graduate,2,Retired,26735,Low,Less than $40K,Tier 2,North,Mass,24,Online,Multi-Product,3,Savings,Blue,2695.0,1,2,52,0,9081.0,8957.0,-13.13,3,137.67,6,9,11,7,41,1652,41,0.869,0.367,1531.0,1593,0,1,1,1,0,0,0,0,1,0,3124,770.0,0.51,1,1,31664.0,1144.0,0,32.3,0,20,9,0.818,14,0,,1,64.6,1,0.434,2,1,0,1,3,0,0,0,3.1,-4,4,0,1,1,0,0,15,0,Medium,Neutral,2177,0.438,0.439,26458.0,29,0.5135,57.2,2,1,0,0,1,2,2,2,3,2,3,4,45.36,1.2,23.698573416096593,599.1999999999999,0.0,0.0004259481,Low Risk,1.147930107981665,Low,0,Digitally Loyal,Routine loyalty engagement and digital experience optimization
133005,0,50,Male,Single,Graduate,1,Salaried,165387,High,$120K +,Tier 2,South,HNI,40,DSA,Multi-Product,4,Savings,Blue,46885.25,0,2,10,1,7811.0,9385.0,8.34,6,322.83,4,13,10,6,63,3874,72,0.725,0.714,33331.0,1185,1,1,1,0,1,0,1,1,0,1,34516,2549.0,0.034,1,0,67040.0,3155.0,0,59.0,1,16,6,0.879,13,4,3.6,1,62.9,1,0.37,2,2,0,6,3,4,2,0,2.6,38,2,0,3,0,0,0,60,1,Low,Positive,15401,0.061,0.039,23938.0,22,0.2289,56.1,1,2,4,1,2,3,3,1,1,2,3,0,48.43,1.2,43.02191893790928,570.6999999999999,0.0,2.8997641e-05,Low Risk,1.3595616708253146,Low,1,Silent Risk,Routine loyalty engagement and digital experience optimization
133006,1,43,Male,Single,Uneducated,3,Salaried,98797,Upper-Middle,$80K - $120K,Tier 2,Central,Affluent,30,Online,Multi-Product,3,Savings,Blue,7836.32,0,0,84,1,8857.0,6613.0,20.82,3,150.75,1,14,4,6,64,1809,39,0.691,0.345,11336.0,0,1,1,1,0,0,0,0,1,0,0,11336,900.0,0.0,0,1,0.0,0.0,0,51.9,0,15,10,0.96,8,2,3.3,0,56.0,1,0.54,3,6,0,1,4,1,4,0,2.3,-27,0,0,2,2,1,0,285,1,Medium,Neutral,8683,0.007,0.023,25986.0,25,0.0,46.5,2,1,3,1,2,3,0,0,3,2,3,3,39.75,1.7999999999999998,26.89995665451079,428.0,0.0,0.99987864,High Risk,7835.369022941589,High,3,Financially Stressed,Immediate relationship manager intervention with premium retention offer
133007,0,42,Female,Married,Graduate,3,Student,24608,Low,Less than $40K,Tier 1,South,Affluent,33,Branch,Multi-Product,2,Current,Blue,7029.82,0,1,4,0,26152.0,20349.0,-0.88,6,656.0,3,18,13,9,103,7872,80,0.72,0.538,2250.0,1544,1,0,1,0,0,0,0,0,0,0,3794,3893.0,0.407,1,1,0.0,0.0,0,54.5,0,25,8,0.93,7,2,,1,66.2,1,0.412,1,3,0,2,1,0,1,0,5.0,55,3,0,3,1,0,0,196,0,Low,Positive,1925,0.303,0.388,74492.0,33,0.0,62.4,1,2,0,0,1,5,3,0,0,2,0,4,61.92,0.6,17.716117241922397,263.2,0.0,0.00022889242,Low Risk,1.609072478079761,Low,0,Digitally Loyal,Routine loyalty engagement and digital experience optimization
133008,0,48,Female,Divorced,College,3,Salaried,39925,Lower-Middle,Less than $40K,Tier 1,West,Affluent,36,Branch,Savings Only,4,Current,Blue,6693.36,1,0,24,1,16750.0,12144.0,9.67,2,113.5,8,18,10,4,117,1362,33,0.537,0.269,490.0,1845,1,0,1,1,0,0,0,0,0,1,2335,929.0,0.79,1,1,31440.0,711.0,0,49.3,0,20,11,0.8,19,1,3.1,1,56.7,1,0.283,1,11,0,3,3,6,1,0,3.8,73,0,0,1,2,0,0,7,0,Low,Negative,4041,0.758,0.723,49848.0,31,0.2137,59.0,1,0,1,0,0,3,4,0,0,4,0,4,54.900000000000006,0.6,35.23608263931696,779.0,0.0,0.00065616734,Low Risk,4.391964201922528,Low,0,Digitally Loyal,Routine loyalty engagement and digital experience optimization
133009,0,29,Male,Divorced,Graduate,1,Salaried,19414,Low,Less than $40K,Tier 1,South,Affluent,36,DSA,Savings Only,4,Current,Blue,4264.58,1,1,68,1,16628.0,22651.0,6.7,10,1232.58,5,16,9,9,117,14791,124,0.632,0.771,2700.0,1139,1,1,1,1,0,0,1,0,0,0,3839,4031.0,0.297,1,1,63277.0,3099.0,0,69.3,0,20,8,0.872,12,1,,1,59.5,1,0.027,1,1,0,5,2,3,1,0,3.4,68,4,1,0,2,0,0,34,0,Not Aware,Positive,1368,0.326,0.195,50729.0,28,1.9155,58.6,0,2,0,1,0,3,3,0,1,4,0,4,52.379999999999995,0.6,33.43333376520492,496.79999999999995,0.0,0.00012232672,Low Risk,0.5216720718343276,Low,0,Digitally Loyal,Routine loyalty engagement and digital experience optimization
133010,0,55,Female,Single,Graduate,2,Salaried,27639,Low,Less than $40K,Tier 3,South,Mass,47,Referral,Savings Only,3,Savings,Silver,7556.88,1,0,27,0,15421.0,16461.0,-12.79,5,308.75,4,17,8,15,94,3705,69,0.56,0.917,13565.0,0,1,0,1,0,0,0,0,1,0,0,13565,2063.0,0.0,1,0,0.0,0.0,0,52.8,0,19,9,0.909,26,0,,1,63.7,1,0.618,0,0,0,3,1,0,2,0,4.4,20,9,1,3,1,0,0,15,1,Not Aware,Positive,2288,0.001,0.051,46439.0,28,0.0,61.4,0,2,0,0,2,3,3,2,4,4,3,4,63.62,0.0,26.791038019701585,1003.6,0.0,4.0992112e-05,Low Risk,0.30977247276634445,Low,0,Digitally Loyal,Routine loyalty engagement and digital experience optimization
